"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Preu_mitja_habitatge","Valor"
2015,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Usat. Milers d'euros",309.5
2015,5,"Sarrià-Sant Gervasi",23,"Sarrià","Usat. Milers d'euros",614.5
2015,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Usat. Milers d'euros",647.2
2015,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Usat. Milers d'euros",521.9
2015,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Usat. Milers d'euros",570.7
2015,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Usat. Milers d'euros",369.6
2015,6,"Gràcia",28,"Vallcarca i els Penitents","Usat. Milers d'euros",255
2015,6,"Gràcia",29,"el Coll","Usat. Milers d'euros",159.4
2015,6,"Gràcia",30,"la Salut","Usat. Milers d'euros",221.7
2015,6,"Gràcia",31,"la Vila de Gràcia","Usat. Milers d'euros",294.5
2015,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Usat. Milers d'euros",274.6
2015,7,"Horta-Guinardó",33,"el Baix Guinardó","Usat. Milers d'euros",223.2
2015,7,"Horta-Guinardó",34,"Can Baró","Usat. Milers d'euros",129.1
2015,7,"Horta-Guinardó",35,"el Guinardó","Usat. Milers d'euros",170.4
2015,7,"Horta-Guinardó",36,"la Font d'en Fargues","Usat. Milers d'euros",240
2015,7,"Horta-Guinardó",37,"el Carmel","Usat. Milers d'euros",121.4
2015,7,"Horta-Guinardó",38,"la Teixonera","Usat. Milers d'euros",121.6
2015,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Usat. Milers d'euros",172.5
2015,7,"Horta-Guinardó",40,"Montbau","Usat. Milers d'euros",97
2015,7,"Horta-Guinardó",41,"la Vall d'Hebron","Usat. Milers d'euros",186.9
2015,7,"Horta-Guinardó",42,"la Clota","Usat. Milers d'euros",118.3
2015,7,"Horta-Guinardó",43,"Horta","Usat. Milers d'euros",156.4
2015,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Usat. Milers d'euros",140.5
2015,8,"Nou Barris",45,"Porta","Usat. Milers d'euros",134.8
2015,8,"Nou Barris",46,"el Turó de la Peira","Usat. Milers d'euros",96.7
2015,8,"Nou Barris",47,"Can Peguera","Usat. Milers d'euros",80.5
2015,8,"Nou Barris",48,"la Guineueta","Usat. Milers d'euros",151.8
2015,8,"Nou Barris",49,"Canyelles","Usat. Milers d'euros",123.6
2015,8,"Nou Barris",50,"les Roquetes","Usat. Milers d'euros",59.6
2015,8,"Nou Barris",51,"Verdun","Usat. Milers d'euros",101.8
2015,8,"Nou Barris",52,"la Prosperitat","Usat. Milers d'euros",106.6
2015,8,"Nou Barris",53,"la Trinitat Nova","Usat. Milers d'euros",64.3
2015,8,"Nou Barris",54,"Torre Baró","Usat. Milers d'euros",NA
2015,8,"Nou Barris",55,"Ciutat Meridiana","Usat. Milers d'euros",60.2
2015,8,"Nou Barris",56,"Vallbona","Usat. Milers d'euros",145.2
2015,9,"Sant Andreu",57,"la Trinitat Vella","Usat. Milers d'euros",135.4
2015,9,"Sant Andreu",58,"Baró de Viver","Usat. Milers d'euros",261.8
2015,9,"Sant Andreu",59,"el Bon Pastor","Usat. Milers d'euros",113.8
2015,9,"Sant Andreu",60,"Sant Andreu","Usat. Milers d'euros",158
2015,9,"Sant Andreu",61,"la Sagrera","Usat. Milers d'euros",181
2015,9,"Sant Andreu",62,"el Congrés i els Indians","Usat. Milers d'euros",154.4
2015,9,"Sant Andreu",63,"Navas","Usat. Milers d'euros",245.7
2015,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Usat. Milers d'euros",234.5
2015,10,"Sant Martí",65,"el Clot","Usat. Milers d'euros",301.2
2015,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Usat. Milers d'euros",196.5
2015,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Usat. Milers d'euros",400.1
2015,10,"Sant Martí",68,"el Poblenou","Usat. Milers d'euros",244.1
2015,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Usat. Milers d'euros",600.1
2015,10,"Sant Martí",70,"el Besòs i el Maresme","Usat. Milers d'euros",132.9
2015,10,"Sant Martí",71,"Provençals del Poblenou","Usat. Milers d'euros",446.9
2015,10,"Sant Martí",72,"Sant Martí de Provençals","Usat. Milers d'euros",221.2
2015,10,"Sant Martí",73,"la Verneda i la Pau","Usat. Milers d'euros",122.2
2015,1,"Ciutat Vella",1,"el Raval","Total. Euros/m2 construït",2401.9
2015,1,"Ciutat Vella",2,"el Barri Gòtic","Total. Euros/m2 construït",3193.4
2015,1,"Ciutat Vella",3,"la Barceloneta","Total. Euros/m2 construït",3474.4
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Total. Euros/m2 construït",3479.4
2015,2,"Eixample",5,"el Fort Pienc","Total. Euros/m2 construït",3602
2015,2,"Eixample",6,"la Sagrada Família","Total. Euros/m2 construït",2983.9
2015,2,"Eixample",7,"la Dreta de l'Eixample","Total. Euros/m2 construït",3311
2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Total. Euros/m2 construït",3757.2
2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Total. Euros/m2 construït",3070.9
2015,2,"Eixample",10,"Sant Antoni","Total. Euros/m2 construït",3049.2
2015,3,"Sants-Montjuïc",11,"el Poble Sec","Total. Euros/m2 construït",2246.9
2015,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Total. Euros/m2 construït",NA
2015,3,"Sants-Montjuïc",13,"la Marina de Port","Total. Euros/m2 construït",2124.1
2015,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Total. Euros/m2 construït",2685.3
2015,3,"Sants-Montjuïc",15,"Hostafrancs","Total. Euros/m2 construït",2479.1
2015,3,"Sants-Montjuïc",16,"la Bordeta","Total. Euros/m2 construït",2577
2015,3,"Sants-Montjuïc",17,"Sants - Badal","Total. Euros/m2 construït",1984.2
2015,3,"Sants-Montjuïc",18,"Sants","Total. Euros/m2 construït",2391.8
2015,4,"Les Corts",19,"les Corts","Total. Euros/m2 construït",3299.7
2015,4,"Les Corts",20,"la Maternitat i Sant Ramon","Total. Euros/m2 construït",3217
2015,4,"Les Corts",21,"Pedralbes","Total. Euros/m2 construït",5191.6
2015,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Total. Euros/m2 construït",2070.6
2015,5,"Sarrià-Sant Gervasi",23,"Sarrià","Total. Euros/m2 construït",4817.6
